ID,# of RTs,HashTags,TweetIds,Date,Replier Ids,Retweeted Distinct Ids,Tweets,Urls in Tweet,Username,,
124,286,,7.96E+017,11/8/2016 20:19:00,,527398231,"Wissen Sie noch: Der Abend vor dem Brexit? Als wir schlafen gingen und dachten: ""Na ja, aber es gibt eine knappe Mehrheit der Vernünftigen!""",,CtotheMtotheS,,
125,341,,7.96E+017,11/7/2016 13:58:00,7.96E+017,2494349095,It is mere pretence that consent obtained with a lie is real consent.,https://www.theguardian.com/politics/2016/nov/07/brexit-cps-considers-complaint-that-leave-campaigns-misled-voters,beyer_char,,
126,0,ElectionNight,7.96E+017,11/8/2016 22:36:00,,,I like think America won't vote for Trump. But I also liked to think that the UK wouldn't vote for Brexit so who knows?,,J_Brook_,,
127,0,,7.96E+017,11/8/2016 22:36:00,,,"Brexit day in the United States was July 4, 1776 you weapons grade plum. ",https://twitter.com/nigel_farage/status/795997944826699776,RedSox730,,
128,38,Article50Carols,7.96E+017,11/8/2016 19:39:00,,434189695,"o little isle of Brexit doom
how shrill we hear your lies!
beyond your spite &amp; selfish gloom
the EU flags still fly...

",,myrtlevondurtle,,
129,27,,7.96E+017,11/8/2016 18:40:00,,2479596096,The UK's industrial production has fallen since the Brexit vote,http://on.ft.com/2eJkDiz,ChrisGroomb,,
130,1089,,7.96E+017,11/8/2016 18:36:00,,271541890,BITCH WE LEFT OVER 240 YEARS AND 4 MONTHS AGO,https://twitter.com/nigel_farage/status/795997944826699776,KanyesPizzaGuy,,
131,13,,7.96E+017,11/8/2016 22:32:00,,196659183,After her successful trip to India (100 pots of Marmite sold) Theresa May goes to Scotland and begs for a trade deal,,IamMisterMR,,
132,0,,7.96E+017,11/8/2016 22:36:00,7.96E+017,,@lesiachristina flipping Brexit I can't I'm still not over it ??,,JaneyMwaura_,,
133,849,,7.96E+017,11/8/2016 21:38:00,,7.12E+017,"NIGEL FARAGE: ""It Feels Like Brexit Day to Me"" (VIDEO)",http://www.thegatewaypundit.com/2016/11/nigel-farage-feeling-world-big-shock-tomorrow-morning-video/,ulf_blombergswe,,
134,0,,7.96E+017,11/8/2016 22:36:00,,,"To change the subject entirely, from elections, Brexit or Sturgeon, a graceful railway viaduct in Tunisia! ",,Longhouses1,,
135,1447,,7.96E+017,11/8/2016 20:13:00,,2231039899,"Democracy Institute, ONLY pollster to correctly guess Brexit, has Trump winning by 5.  Same as my prediction: ",,Smokester81,,
137,0,,7.96E+017,11/8/2016 22:36:00,,,Some of are politicians must be admirers of Hitler &amp, if they think they can stop brexit they'd better go &amp, find a b…,https://twitter.com/i/web/status/796119230831886336,tetley824
138,2,,7.96E+017,11/8/2016 22:27:00,,22041996,Government refuses to guarantee workers' rights after Brexit https://t.co/LGp4XLnFg4,http://www.independent.co.uk/news/uk/politics/brexit-workers-rights-take-over-firms-a7403051.html,mantd,,
139,1597,ElectionDay,7.96E+017,11/8/2016 15:38:00,,408060945,"BREXIT odds on morning of June 23:
1/4 REMAIN
3/1 LEAVE

Current #ElectionDay odds:
1/4 CLINTON
3/1 TRUMP",,CamBurnss,,
140,2643,Brexit,7.96E+017,11/6/2016 10:19:00,,2236244636,The referendum result must be respected. Leave means Leave: out of the single market. #Brexit https://t.co/vXrbj6oAKj,,mattgent2,,
141,1,,7.96E+017,11/8/2016 22:34:00,,1213993723,"I genuinely don't understand how you cannot be interested in even a speck of politics in this 2016. Brexit, Cameron out, US elections alone",,_damilolaa,,
142,349,ElectionNight,7.96E+017,11/8/2016 21:54:00,,462464286,"Brexit was a working class retaliation. You ignore people 4 too long &amp; they will eventually rise up!

America is Next ?TRUMP

",,RossVMaxwell,,
143,0,,7.96E+017,11/8/2016 22:36:00,7.96E+017,,"I saw that happen in 2015, and it's what is hugely responsible for Brexit today.",,GeorgeSeabrook,,
144,111,brexit,7.96E+017,11/8/2016 21:02:00,,2421121344,BREAKING : Only Public Poll that Correctly Called Brexit Predicts Trump Victory,http://truthfeed.com/breaking-only-public-poll-that-correctly-called-brexit-predicts-trump-victory/34631/,jj6929,,
145,1,,7.96E+017,11/8/2016 22:34:00,,308464109,"VIDEO : Nigel Farage, “It Feels Like Brexit Day in America!” ",http://sh.st/89os4,jerrymeister69,,
146,0,,7.95E+017,11/8/2016 21:27:00,,,"Tipu Sultan was like Sultan Sikander of Kashmir, during whose rule only 13 Hindus families survived.",,deepaksam5,,
147,0,"JKOps, kashmir",7.95E+017,11/8/2016 19:37:00,,,"  One terrorist killed in an encounter in Wangam, Kulgam, South . one AK 47 and ammo recovered. @adgpi",,AshokEditor,,
148,0,Kashmir,7.95E+017,11/8/2016 9:53:00,,," Student community in #Kashmir rises against those forcing schools to shut down.
",,sri9011,,
149,0,,7.95E+017,11/8/2016 19:37:00,,342789743,Siri will build 27 schools in JandK,https://t.co/uxehqUJKJC,VishnuDhanuka,,
150,0,,7.95E+017,11/8/2016 21:27:00,,1155643086," From Kashmir to Kanyakumari, Indians of all religions from across the country have shed blood for J&amp;K. It belongs t… ",,rinku419,,
151,0,,7.95E+017,11/8/2016 17:15:00,,426686311,"Gun battle between terrorists, Indian Army in Jammu and Kashmir's Shopian; 1 militant killed",,sanjida_iqbal,,
152,0,,7.95E+017,11/8/2016 22:13:00,,186190359,"Uneasy calm prevails across Kashmir, Future of ongoing Resistance being decided on tuesday ",,KashmirInFocus,,
153,0,,7.95E+017,11/8/2016 19:37:00,,," Hindu temple bells ringing in Kashmir means peace, prosperity for the beautiful land; jihadi Allahu Akbar slogans mean death…",,kkprasad9,,
154,0,"JKOps, kashmir",7.95E+017,11/8/2016 19:37:00,,,"One terrorist killed in an encounter in Wangam, Kulgam, South. one AK 47 and ammo recovered. adgpi",,modi_giri,,
155,0,,7.95E+017,11/8/2016 19:37:00,,7.73E+017,mosques take over as school in Kashmir. This way future of students is safe. God also want kids be happy.?,,my_opnion,,
156,14,Kashmir,7.95E+017,11/8/2016 22:14:00,,2460685506,"Time for Pak. Government to clear its stance on #Kashmir, pave out Kashmir policy, put an end to hypocrisy-Hafiz Sa… ",,JaguarPipli,,
157,16,,7.95E+017,11/8/2016 19:37:00,,,strausss: Kashmir by Led Zeppelin has some of the best instrumentals in the game don't fight me on this,,syknew,,
158,0,"Kashmir, Jammu",7.95E+017,11/8/2016 21:53:00,,22232322," 1947 Muslim Massacre In Jammu #Kashmir #Jammu 
Today is 6th November",,murtaza_shibli,,
159,0,,7.95E+017,11/8/2016 18:05:00,,22232322,"With 500,000 Pandits uprooted from Kashmir to Jammu, should the assembly seats not be adjusted?",,Krishnam_2016,,
160,0,"JKOps, kashmir",7.95E+017,11/8/2016 19:37:00,,,"One terrorist killed in an encounter in Wangam, Kulgam, South  . one AK 47 and ammo recov…",,praveengarg3,,
161,0,,7.95E+017,11/8/2016 22:14:00,,,"Indo-Pak conflict: Army soldier injured in Shopian gunfight, Jammu and Kashmir ",,chandu532,,
162,0,"Pakistani, Food, Home, Recipe",7.95E+017,11/8/2016 22:01:00,,,chief of held Kashmir says situation still fragile,,quantom_nom,,
163,30,"Shopian, Kashmir",7.95E+017,11/8/2016 22:14:00,,," Its a plebiscite against Indian occupation  - Funeral of freedom fighter Waseem in Shopian today.
",,shoaib_aas,,
164,2,,7.95E+017,11/8/2016 19:37:00,,,"Jammu and Kashmir: CBSE to ensure board exam centres are within 8km of students’ schools, reports @NPDay… ",http://www.hindustantimes.com,htTweets,,
165,32,,7.95E+017,11/8/2016 19:37:00,,,"Today in 2015 : Gowhar Nazir Dar, 22, an Engineering student was martyred by Indian troops in Zainakote, Srinagar.… ",https://t.co/ir1nF7fe0v,MirUzair1,,
166,0,"IndiaHallaBol, HallaBol, Twotroopers, Kashmir",7.95E+017,11/8/2016 19:37:00,,,"????????? ?????? ?????? ??? ?????? ????? ??????? ??? ?? ???? ????
",http://www.indiahallabol.com,indiahallabol,,
167,0,,7.95E+017,11/8/2016 22:36:00,,,???,https://t.co/bNRjqTxfyf,SingAjai,,
168,0,,7.95E+017,11/8/2016 21:38:00,,,Kashmir,https://t.co/bNRjqTxfyf,zhrane_ahmed,,
169,0,Jammu,7.95E+017,11/8/2016 22:35:00,,,"
Jammu and kashmir, Winter capital opens in Jammu. ",https://t.co/5PZvJ4Le4X,aashishkohli25,,
170,25,,7.96E+017,11/6/2016 15:44:00,,493400289,"Crazy nasty SAF/RPG/SVB complex ambush of an ISOF column in the Adan neighborhood, unit off for 24 hrs, sustained h",,JMillet3,,
171,100,,7.96E+017,11/8/2016 21:47:00,,4705749698,"ASTI
STI
TI
I
IS
ISI
ISIS",,Ellabowler1,,
172,18,WTFAmericaIn5Words,7.96E+017,11/8/2016 22:28:00,,836653135,"Iraq, Yemen, Libya, Syria, ISIS #WTFAmericaIn5Words ",https://t.co/DJaQRofKSa,MatherneShane,,
173,0,,7.96E+017,11/8/2016 22:47:00,,,"Chilenos votando por Trump es como, no sé, ISIS votando por, no sé, no explotar.",,Patasho,,
174,1,"2A, ISIS",7.96E+017,12/14/2015 4:00:00,,223906023,"This has got to be one of my all time favorite memes, brought to you by the 2nd amendment.",https://t.co/NgmsXd756p,Highnz57,,
175,0,"Religion, Christianit, Judaism, ISIS, Islam, Allah",7.96E+017,11/8/2016 22:47:00,,,What's gonna happen in 2050?,https://youtu.be/DQEK447lYwI,love_allah_01,,
176,11905,CrookedHillary,7.96E+017,10/7/2016 20:27:00,,2975591738,"Wikileaks:  Clinton took money from, and was board member of, company doing deals with ISIS",. https://t.co/uonPaRqxgM,CjdrJerry,,
177,0,,7.96E+017,11/8/2016 22:47:00,,,"va dormir 
signé : ISIS — HAHAHAHAHAH ptn d'ailleurs tes photo.. Dla bombe",https://t.co/vxHRSqYVm3,Eluamba11,,
178,0,,7.96E+017,11/8/2016 22:47:00,,,kenyataan...dan hancur!,https://t.co/OdoGu5rSan,wakadol2012,,
179,8,,7.96E+017,11/8/2016 0:27:00,7.96E+017,7.1E+017,whatever they might be they're better than these,https://t.co/yshBOUFohm,rutavala1,,
180,0,,7.96E+017,11/8/2016 22:47:00,7.96E+017,,@AP @HillaryClinton @realDonaldTrump I KNOW I TOOM OUT THE POLICE CHEIF COMMISSIONER MAYOR PORTLAND &amp, THE GOVERNOR OF OREGON...ISIS HOT BED,,HaloHooper,
181,0,,7.96E+017,11/8/2016 22:47:00,,,ISIS kidnaps nearly 300 civilians,https://t.co/SyAupNxbwq,WorldNews7777,,
182,35,,7.96E+017,11/8/2016 21:00:00,,2966460998,?ISIS??????????????FPS?????????,https://t.co/XWNSf5mnHX,kiyo_suke2525,,
183,1772,,7.96E+017,11/7/2016 21:25:00,,16479143,"She voted for Iraq
She armed ISIS
Collected bribes
Cheated debates
Colluded with media
Compromised National Securit… ",,brianbonner,,
184,6,"ISIS, ISIL, PJNET",7.96E+017,11/8/2016 22:43:00,,233345828,"Yes, Obama Is a Founder of Islamic State  - American Thinker 9 -",https://t.co/9zqqrPZTme,debfinley46,,
185,0,,7.96E+017,11/8/2016 22:47:00,,1648353734,Julian Assange: Hillary Clinton en Daesh (ISIS) worden gefinancierd door dezelfde mensen,https://t.co/O8pI4JdxHJ,zutphenees,,
186,0,KatibaDesKuffars,7.96E+017,11/8/2016 22:53:00,,,"?ISIS

?https://t.co/QAWbfC84U9
?https://t.co/Ad8ijaIhl1

?https://t.co/xUoHcEnYRR
?https://t.co/zMoDZd4aUh

",,KDKTargets,,
187,14,"sulphur, Iraq, Daesh, ISIS",7.96E+017,11/8/2016 12:41:00,,2915476282,"Diving in ther spring in Hamam al-Alil, #Iraq to celebrate liberation frim day.",https://t.co/omR3xUq88z,DeebajAl,,
188,0,,7.96E+017,11/8/2016 22:53:00,,,"EX FBI usa flees to Canada to be a cop ? leak of mafia 
LA AREA 51 
VEGAS LINK IDENTITY THEFT LINK SEX TRADE AUSTRALIA RUSSIA ISIS",,angellove197121,,
189,0,,7.96E+017,11/8/2016 22:53:00,,,"That's right, Hillary Clinton sold weapons to ISIS via Qatar after receiving a million dollar donation to the…",https://t.co/PFRElH86Z8,allysonworsham,,
190,36,,7.96E+017,11/8/2016 15:48:00,,3326101453,"Ada kabar perekrut ISIS Indonesia, Abu Jandal, mati konyol di Mosul...
Indonesia sekarang sedikit lebih aman...Alha…",https://t.co/NWgYzWWkVz,PKSLiberal,,
191,0,,7.96E+017,11/8/2016 22:53:00,,,ISIS terrorists arrested in Albania for plotting attack on Israel team - SkySports,https://t.co/2VSX1yO5hT,VendorNaija,,
192,1,ALVDE,7.96E+017,11/8/2016 22:51:00,,700289948," J.GARRIDO: Si un millón de refugiados dejan su territorio frentea 30.000 ISIS, no entiendo como esa mayoría no se queda y les derrota",,Ricardo_Pastor_,,
193,0,,7.96E+017,11/8/2016 22:53:00,7.96E+017,,@Jamin2g Excellent news. Presumably ISIS and other threats will sit up and take note. I feel safer already.,,bobfrost,,
194,0,"Cechen, terrorists, Ukraine",7.96E+017,11/8/2016 22:53:00,,,"welcome in #Ukraine, Gen Wesley Clark states US Created ISIS",https://t.co/3phjdTTSFE,trend_auditor,,
195,0,,7.96E+017,11/8/2016 22:53:00,,,Sen. Ernst: We can't let ISIS get away -,https://t.co/1eBcI9wX30,noblesergentem2,,
196,1,"BREAKING, Iraqi, Saddam, Mosul",7.96E+017,11/8/2016 22:52:00,,29198219,Golden Division now liberated al-Zahra district (formerly known as district) of  c…,,Glittermegangel,,
197,17,"isis, pharma, products",7.96E+017,11/8/2016 10:13:00,,7.58E+017,La Jolla Pharmaceutical Company,http://pharmacy.remmont.com/la-jolla-pharmaceutical-company-isis-pharma-products/,elguseva29305,,
198,2,,7.96E+017,11/8/2016 22:45:00,,4502426357,ISIS le pide a los Musulmanes en Estados Unidos que voten por Hillary!,http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,mavegan,,
199,19,,7.96E+017,11/8/2016 22:36:00,,519524383,"ISIS snipers thwarted by Iraqi hero in bulletproof BMW, 70 saved
",http://www.washingtontimes.com/news/2016/nov/8/isis-snipers-thwarted-by-iraqi-hero-in-bulletproof/,kittykera,,
200,9,,7.96E+017,11/7/2016 21:49:00,,7.79E+017,"Read !!
WikiLeaks CONFIRMS Hillary Sold Weapons to ISIS –  ",http://flip.it/p1GXQG,Donald_Trump_J,,
201,13,,7.96E+017,11/8/2016 19:59:00,,2279733733,SDF Press Release: SDF forces advanced 14 km from the al-Qanteri and Ayn Issa fronts. 43 ISIS gangs were killed by…,,RojhilatCiwan,,
202,206,,7.96E+017,11/8/2016 21:00:00,,70994198,These Iraqis fleeing ISIS forces in Mosul wait in a food distribution line as @SamaritansPurse provides help in Jes…,,lourdestovar,,
203,10,,7.96E+017,11/8/2016 12:41:00,,15493266,Brutal este vídeo de 10 minutos de un equipo de la CNN @arwaCNN empotrado con el ejército iraquí en Mosul,,jmunozfe,,
204,0,,7.96E+017,11/8/2016 22:53:00,7.96E+017,,@jhonysetiawan11 @fahiraidris @habib_insyaf mungkin dia udah ga makan ikan teri lagi makanya otaknya kayak isis,,nababan_durian,,
205,0,,7.96E+017,11/8/2016 22:53:00,,,vi a isis e matei a saudade,,naaomyh,,
206,433,"ISIS, Mosul",7.96E+017,11/7/2016 17:45:00,,468456476,BBC reporter narrowly escapes  car bomb on the road to @MiddleEastEye,,RobertPEdwards,,
207,9376,,7.96E+017,10/17/2016 11:35:00,,50228468,"When your government is fighting Assange harder than they're fighting Isis, it should tell you how corrupt they are",,CosmUnity,,
208,0,,7.96E+017,11/8/2016 22:53:00,,,"Kurds deport Japanese citizen for supporting ISIS [ARA News]
",,ROJNAME_english,,
209,0,,7.96E+017,11/8/2016 22:53:00,,,?????ISIS?????????ISF???????????????????????? -,,gbbbsjp,,
210,0,,7.96E+017,11/8/2016 22:53:00,,,Alex Jones Is ‘No Better Than ISIS’: How The Infowars Host Spreads Fear For Profit. @DJCRISISMTL this convinced me,,willay3,,
211,0,,7.96E+017,11/8/2016 22:53:00,,,Barack Hussein Obama and Hillary Clinton are the founders of ISIS. We have proven that through emails and...,,shirley_shipp,,
212,5286,,7.96E+017,11/4/2016 11:49:00,,2414855658,Assange: Clinton and ISIS are funded by the same money.,,ClarkKentwars,,
213,1,,7.96E+017,11/8/2016 21:55:00,,348832974,terça feira e a isis ja ta montando meu fim de semana......n guento n,,isiscavalcanti_,,
214,0,,7.96E+017,11/8/2016 22:53:00,,,"Really? Cause our not too bright prez believes ""Climate Change"" is a greater threat than ISIS. ",https://twitter.com/ultimateOne/status/796033481231003649,GirlygirlinMN,,
215,1,,7.96E+017,11/8/2016 22:40:00,,21429720,"Take it from a U.S. Marine: ""ISIS cannot compare to the threat someone like Trump could pose to the US."" ",,whaaf,,
216,60,Raqqa,7.96E+017,11/8/2016 16:42:00,,2279733733,"Freed civillians greet a Kurdish female fighter after being liberated from ISIS held areas, as the operation…",,RojhilatCiwan,,
217,0,draintheswamp,7.96E+017,11/8/2016 22:53:00,,,I hear by proxy they also find ISIS! Keep Voting!!,https://twitter.com/lowelljohnsonjr/status/796122872766926848,Solomon_Patriot,,
218,0,cnn,7.96E+017,11/8/2016 22:53:00,,,SIS kidnaps nearly 300 civilians: ISIS has abducted nearly 300 people from Tal Afar…,https://goo.gl/fb/gp0k6f,BN365,,
219,0,,7.96E+017,11/8/2016 22:53:00,,,Sen. Ernst: We can't let ISIS get away,http://wp.me/p7knbt-vlU,MaxEmmery,,
220,0,,7.96E+017,11/8/2016 22:53:00,,,World: Germany: Five ISIS recruiters arrested: Five key ISIS recruiters have been arrested…,https://goo.gl/fb/idQHqT,TheAllRadar,,
221,17,Isis,7.96E+017,11/8/2016 18:32:00,,1938871628,Women and children found in mass graves courtesy of@ &amp, some have been arguing tt eliminating Daesh now is not…,,Sain_Che,
222,3,,7.96E+017,11/3/2016 8:09:00,,7.78E+017,"VIDEO: Mass Shooting at Munich shopping mall, SEVERAL DEAD, ISIS CELEBRATES on social media",http://mecklet.com/s17hyn-mass_shooting_celebrates_munich_dead_social_several_shopping_on_mall_isis_aedcd,KatherinaMcqui3,,
223,551,,7.96E+017,11/8/2016 16:54:00,,969781,"Even as Election Day looms, President Ash Carter is overseeing joint operation to take Raqqa from Isis. Barack Obam… ",,ajamison,,
224,0,,7.96E+017,11/8/2016 23:00:00,,7.58E+017,Thanks @biicl for super event.,https://twitter.com/BIICL/status/796007117866102786,ILPAimmigration,,
225,301,"Security, Trump, VotoLatinoChat, ElectionDay",7.96E+017,11/8/2016 20:28:00,,7.6E+017,"Americans CANNOT afford Hillary's 650,000 Syrian Refugees? ?
",,truthislight8_4,,
226,0,"refugeecrisis, refugeeswelcome, Malmo",7.96E+017,11/8/2016 23:01:00,,,New on @JournalPolitics blog: “Human rights depend on everyday social acts“:,http://politicsblog.ac.uk/2016/11/08/human-rights-depend-everyday-social-acts/,JournalPolitics,,
227,2339,,7.96E+017,11/7/2016 2:15:00,,1107837085,We must secure our borders&amp,MAKE AMERICA SAFE AGAIN for future generations. Crooked wants a 550%??in Syrian refugees…,,crazycatsparkle,
228,0,,7.96E+017,11/8/2016 23:02:00,,,Seriously Isis ?? You think you won >,"http://goo.gl/R0ajh, https://goo.gl/fb/Ljaksd",Albania96,,
229,1344,AmericaFirst,7.96E+017,8/31/2016 14:28:00,,7.95E+017,"Syrian refugees waiting for their gov apt (left), homeless elderly couple (right). Both in Maryland. ",,supporttrump405,,
230,138,,7.96E+017,11/8/2016 21:53:00,,2273724902,Federal Judge asks why the Obama administration isn’t admitting Christian Syrian refugees,http://bit.ly/2fbWdk3,Jerrylwolf,,
231,16,,7.96E+017,9/24/2016 11:31:00,,86333078,"PMJustin your idol China convinced you Canada Human Rights- worse; so, China also right on Refugees (only took 9) ",,Ontarible,,
232,331,"BanRefugees, BanIslam",7.96E+017,10/22/2016 4:35:00,,880212104,VIDEO : Huma Abedin on Hidden Cam Admits Hillary will Open U.S. Borders to Syrian Refugees,,Kathlee31692755,,
233,11,refugees,7.96E+017,11/8/2016 22:06:00,,7.25E+017,"Dear @Nick_Xenophon under LNP from 2013-2019 we're taking 20,500 less  (after 31% cut) even after count the one off Syrian intake",,2009pix,,
234,1,,7.96E+017,11/8/2016 19:11:00,,72227167,The Syrian War’s Women Refugees Face a Particularly Harsh Exile,https://www.thenation.com/article/the-syrian-wars-women-refugees-face-a-particularly-harsh-exile/,meeshellchen,,
235,10,,7.96E+017,11/8/2016 20:50:00,,2835151156,"Would you like a personalised audiobook, starring your 2-6yr old child? Yours truly narrating, all proceeds going ",,natalienaaman,,
236,," SimoneBiles, TeamValaur, rio2016 , olympian, olympics ",7.96E+017,11/8/2016 22:36:00,,,I love these kind of photos they are so beautiful @Simone_Biles@Simone_Biles,,gymnastsusa ,,
237,,,7.96E+017,11/8/2016 22:36:00,,,nap queens learning from the best 3hrs @SimoneBiles,,Aly_Raisman,,
238,,BlackGirlMagic,7.96E+017,11/8/2016 19:39:00,,,"Simone Biles and Ava DuVernay for Ebony Magazine ""The Power 100"" December 2016/January 2017 Issue",,Albania96,,
239,,"SimoneBiles  ,Zendaya , Glamour Women Of The Year",7.96E+017,11/8/2016 18:40:00,,,and Founders Of #BlackLivesMatter Honored Among,,blackmattersus ,,
240,,,7.96E+017,11/8/2016 18:36:00,,,Simone_Biles you are the most beautiful person I've ever seen,,gymnastsusa ,,
241,,Overnight,7.96E+017,11/8/2016 22:32:00,,,The  music video hit 1 MILLION views already!! Behind the Scenes video comin,,jakesmiller,,
242,,,7.96E+017,11/8/2016 22:36:00,,,Simone Biles commented on my pic.. I'm a happy person,,tcurry59,,
243,,,7.96E+017,11/8/2016 21:38:00,,,So annoying!!!!please  RT Simone Biles: I don't understand hotels that don't have outlets by the bed,,silkeanne,,
244,,,7.96E+017,11/8/2016 22:36:00,,,I liked a @YouTube video Jake Miller - Overnight (Starring Simone Biles),http://youtu.be/uZBY07riKXg?a,soulsirenn,,
245,,,7.96E+017,11/8/2016 20:13:00,,,@Final5Forever @gabrielledoug @Simone_Biles,,redrockmaine,,
246,,,7.96E+017,11/8/2016 22:36:00,,,@Final5Forever @gabrielledoug @Simone_Biles hEY iTz jOlYMpYQ]{z n #fUcHiSiAlANd ahah yAL fLyp mE kwAZy tHiz aMAZn yAl sI13 g/^\)3bE mCfLYP],,ReddRockMaine ,,
247,,"SimoneBiles, alyraisman, thefinalfive, gymnast, usa",7.96E+017,11/8/2016 22:36:00,,,Omg Yess my baes @Simone_Biles @Aly_Raisman @JoeyGraceffa,,gymnastsusa ,,
248,,,7.96E+017,11/8/2016 22:27:00,,,@Simone_Biles I just stayed in a remodeled motel 6 that actually had an outlet between the beds! first time I have ever seen that!,,Bradyscrazymom ,,
249,,,7.96E+017,11/8/2016 15:38:00,,,This is absolutely incredible!!! Please tell your students amazing job from @MichaelPhelps & I!!,,mrsnicolephelps,,
250,,,7.96E+017,11/6/2016 10:19:00,,56363048,"Lookalikes: The new ""Most Interesting Man In The World"" for Dos Equis & Michael Phelps ",,darrenrovell ,,
251,,,7.96E+017,11/8/2016 22:34:00,,,Michael phelps eats 2 pounds of pasta everyday n I really admire that,,artburp6666,,
252,,IWILL,7.96E+017,11/8/2016 21:54:00,,,Inspire those who inspire you.  @MichaelPhelps visits our 2nd largest Brand House in the world on Huaihai Road in Shanghai.,,underarmour,,
253,,,7.96E+017,11/8/2016 22:36:00,,,"Danny McBride teaches @MichaelPhelps a ""valuable"" lesson in teamwork [NSFW]. Also see the full launch trailer: ",https://youtu.be/_87zvl0LcEg ,CallofDuty,,
